,Code,Latitude,Longitude,Station,State
4,82353,-3.21,-52.21,ALTAMIRA ,PA
5,82970,-9.1,-45.93,ALTO PARNAIBA ,MA
10,82659,-7.2,-48.2,ARAGUAINA ,TO
17,82460,-4.21,-44.76,BACABAL ,MA
19,82768,-7.53,-46.03,BALSAS ,MA
23,82113,-0.96,-62.91,BARCELOS ,AM
25,82571,-5.5,-45.23,BARRA DO CORDA ,MA
27,82191,-1.43,-48.43,BELEM ,PA
29,82246,-2.63,-54.95,BELTERRA ,PA
30,82410,-4.38,-70.03,BENJAMIN CONSTANT ,AM
32,82024,2.82,-60.66,BOA VISTA ,RR
38,82188,-1.68,-50.48,BREVES ,PA
41,83405,-16.05,-57.68,CACERES ,MT
45,82263,-2.25,-49.5,CAMETA ,PA
52,83270,-13.47,-52.27,CANARANA ,MT
56,82042,1.83,-61.12,CARACARAI ,RR
62,82765,-7.33,-47.46,CAROLINA ,MA
66,82476,-4.86,-43.35,CAXIAS ,MA
69,82382,-3.73,-43.35,CHAPADINHA ,MA
72,82425,-4.08,-63.13,COARI ,AM
73,82326,-3.83,-62.08,CODAJAS ,AM
74,82676,-6.03,-44.25,COLINAS ,MA
75,82861,-8.26,-49.26,CONCEICAO DO ARAGUAIA ,PA
83,82704,-7.6,-72.66,CRUZEIRO DO SUL ,AC
85,83361,-15.61,-56.1,CUIABA ,MT
89,83309,-14.4,-56.45,DIAMANTINO ,MT
91,82610,-6.66,-69.86,EIRUNEPE ,AM
100,82212,-2.53,-66.16,FONTE BOA ,AM
107,83264,-12.28,-55.29,GLEBA CELESTE ,MT
113,82067,0.61,-69.18,IAUARETE ,AM
116,82564,-5.53,-47.48,IMPERATRIZ ,MA
124,82336,-3.13,-58.43,ITACOATIARA ,AM
125,82445,-4.28,-55.98,ITAITUBA ,PA
143,82723,-7.25,-64.83,LABREA ,AM
151,82098,-0.05,-51.11,MACAPA ,AP
155,82331,-3.1,-60.01,MANAUS ,AM
156,82533,-5.81,-61.3,MANICORE ,AM
157,82562,-5.36,-49.13,MARABA ,PA
159,83214,-10.25,-54.91,MATUPA ,MT
161,82181,-2.0,-54.1,MONTE ALEGRE ,PA
170,83319,-14.7,-52.35,NOVA XAV  XAVANTINA  ,MT
171,82178,-1.91,-55.51,OBIDOS ,PA
173,83364,-15.78,-56.06,PADRE RICARDO REMETTER ,MT
174,83033,-10.19,-48.3,PALMAS ,TO
180,82240,-2.63,-56.73,PARINTINS ,AM
188,82863,-8.96,-48.18,PEDRO AFONSO ,TO
189,83228,-12.01,-48.35,PEIXE ,TO
199,82184,-1.73,-52.23,PORTO DE MOZ ,PA
201,83064,-10.71,-48.41,PORTO NACIONAL ,TO
203,83358,-15.83,-54.38,POXOREO ,MT
210,82915,-9.96,-67.8,RIO BRANCO ,AC
215,83410,-16.45,-54.56,RONDONOPOLIS ,MT
216,82106,-0.11,-67.0,S G DA CACHOEIRA UAUPES  ,AM
224,82668,-6.63,-51.96,SAO FELIX DO XINGU ,PA
227,83267,-13.43,-56.71,SAO JOSE DO RIO CLARO ,MT
229,82280,-2.53,-44.21,SAO LUIS ,MA
241,82141,-0.73,-48.51,SOURE ,PA
244,83235,-12.4,-46.41,TAGUATINGA ,TO
245,82807,-8.16,-70.76,TARAUACA ,AC
248,82317,-3.83,-64.7,TEFE ,AM
251,82145,-1.06,-46.9,TRACUATEUA ,PA
253,82361,-3.76,-49.66,TUCURUI ,PA
254,82198,-1.56,-45.36,TURIACU ,MA
264,82376,-3.26,-45.65,ZE DOCA ,MA
