Year,AC_%Δ,AM_%Δ,AP_%Δ,MA_%Δ,MT_%Δ,PA_%Δ,RR_%Δ,TO_%Δ,Total_Rain_%Δ
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,29.872071772719732,2.7250114093766875,12.91779235816286,-1.5655742437499343,-4.965418554734091,-8.468507456150508,83.99999999999999,13.437156255427563,8.454106064310206
1990,-17.638195954685653,-37.940706539314995,-5.588406193389583,-30.91656439503322,-8.691151375225859,-18.740712806195937,-100.0,-48.2045524140043,-28.18023566901353
1991,-100.0,21.34063915632187,-12.938961697197938,18.58520942322892,-33.976459917960156,14.550265466497114,,3.2181144568816267,-14.936229393398682
1992,,-8.783910196445255,-8.404025282767746,-26.09615183375834,-23.26693724633153,-27.832629231575247,,49.11363766538743,-10.58727490758895
1993,,35.408090012745966,4.049575520951532,21.276595744680836,-0.380834581081968,31.79010683185206,,-49.117331668827326,35.57585807816874
1994,34.00564743848331,-1.1209027811588723,15.43697368995165,34.61394291332536,28.034634863584373,19.793461897398522,62.981828193832555,-26.088324106693495,18.120334504622203
1995,-15.276224878873911,-7.845266688186269,-1.4173942623881608,-5.339991965818225,38.50197779762661,-8.695652173913038,10.4611876003041,181.4736005901211,3.993990323921448
1996,3.8930716521444753,9.556250166973879,-0.7093014339390136,4.287105890068799,-100.0,-4.032028366320828,67.48996367807317,-13.682958542903501,-1.058534485496565
1997,-4.396964466013086,-9.24968569818352,-4.942657450669985,-24.154243119266063,,-14.125390413787942,-40.85191864313925,25.97155401933764,-10.323686677070487
1998,5.595680168977624,-1.1100694465178473,-7.584189787545171,-7.810585229940081,568.0837148463048,3.6850757686735847,64.5478754197059,-23.85401892896539,10.272361433969856
1999,16.547563355971008,18.40128496207911,19.002197802197806,38.66609351233385,-2.3278092441087805,17.2966279964208,-3.4172999343277333,31.35347682119205,16.036895571528675
2000,-17.10750321803762,-2.032313011903142,-0.20315443430724,-1.446510585328864,9.508093441484512,14.801144572136948,3.3657932441292004,4.249344294201052,0.6262947462299051
2001,-0.3189233415151316,-4.257744785186668,-21.76326893182321,-6.3897330674977155,9.70960107739176,-16.494951381164626,-30.19382121461294,-12.908502542583822,-11.665706917754026
2002,8.094073503299914,6.442545047249304,17.70744630523229,-2.262717121588098,-10.662400038137465,-4.183019668975263,22.49520411940904,-1.3545792331877249,4.775105362033538
2003,-1.7929645126297356,-12.2459352189082,-22.780434869981136,-0.6410561558845673,19.84978755477882,-5.227442358644774,-0.994587465999941,-4.94220640127484,-5.626256479521352
2004,9.988480898805484,-8.176923502299594,40.59751210118145,16.0403724228245,4.386687444345561,12.045941327541797,8.994033578465377,16.314867027356517,11.756881041960842
2005,-14.768374388476834,0.4925149912298199,-4.0647095842742615,-13.586839340682532,-10.81562363378512,-2.0129499482715696,9.229554944495334,1.045410302485772,-4.2791199867330825
2006,3.0214277298052705,12.523734726191126,8.817287285356091,10.614442096769071,18.710394796623554,7.678678159350261,19.248968555511546,-1.3300606678090188,9.837708856152293
2007,4.88039997385783,-3.1971789926895977,-4.4219858156029135,-19.344403916298702,-15.768428898043041,-11.9714857287763,-8.739420238863161,-26.67348797041179,-9.674708539790588
2008,0.4439874748797257,13.197488895194965,-12.688754498571553,33.64573291918067,6.906529875285483,18.86614899078809,-10.079677861548975,35.57620913024551,7.465072342866952
2009,10.332526831689304,-1.3365803495829054,6.573747503505678,13.219677911993543,3.734047669645557,4.169224803696681,-31.227669001000436,1.6949312584982668,0.7308382960015791
2010,-27.568950490595757,-12.959102717670302,-3.68421052631579,-35.67333102623795,-6.922707840272602,-20.605045405547983,53.48434469382093,-14.279612624072612,-11.539841864484146
2011,9.746535729534633,13.98567237090984,5.882596456366929,40.53736817973406,5.320590790616864,17.91871379872829,4.136390305546778,19.450823223570147,13.35534488560186
2012,23.69314564617668,5.153044291773257,-15.811080267427723,-38.14967548850727,-4.419916848148864,-14.857029256817189,-16.815827681105986,-20.507449422817093,-10.081096097214193
2013,2.2531667286191936,-0.029822111107258298,32.475734918497224,22.268328363247704,17.70953802956288,9.25691714986181,3.9753041394221755,25.859551459013062,12.461757462051114
2014,6.119795307737497,-7.348371475590765,-11.354553740447393,1.879249450663223,-15.620447946504523,2.332974185907788,-34.808207852078276,-6.611015942935361,-8.093249873058827
2015,-10.960618716979164,-22.62668162036564,-4.227468659785671,-26.142632104927355,-11.073778416295587,-20.49517212974483,-0.4880860876248949,-26.683618505973595,-15.431680955626682
2016,-38.36490085824204,-6.771391417425232,2.816087207861906,12.115189089602541,-1.5756871237937675,10.898259080362461,57.61788900475027,10.008869120898023,1.8063839330596076
2017,69.62283629030313,29.590574103830637,-7.329317269076219,25.641794912006755,24.45583651809333,10.689483882216312,-20.043124571204494,6.555641124374301,13.722609089500516
2018,-3.832109039955822,-0.23373405217158583,13.954496208017364,3.971996852359383,1.8769847902390113,3.119399658221278,29.771390046580002,13.226127021411127,6.7946181915721215
2019,15.959114290129573,6.130593558261621,11.329150028522573,-3.3791965926173506,-16.584909684511008,3.8640116897377563,3.7216331735423713,-21.212997686108647,1.6797354809614973
