Year,AC_mm,AM_mm,AP_mm,MA_mm,MT_mm,PA_mm,RR_mm,TO_mm,Total_Rain_mm
1988,1805.7,2763.88,2591.0,1876.31,1397.67,2588.02,507.5,1727.3,1907.17
1989,2345.1,2839.19,2925.7,1846.93,1328.27,2368.85,933.8,1959.4,2068.41
1990,1931.47,1761.98,2762.2,1275.92,1212.82,1924.91,,1014.88,1485.52
1991,,2138.0,2404.8,1513.06,800.75,2204.99,,1047.54,1263.64
1992,,1950.2,2202.7,1118.21,614.44,1591.29,,1562.02,1129.86
1993,1735.3,2640.73,2291.9,1356.12,612.1,2097.16,726.4,794.8,1531.81
1994,2325.4,2611.13,2645.7,1825.53,783.7,2512.26,1183.9,587.45,1809.38
1995,1970.17,2406.28,2608.2,1728.05,1085.44,2293.8,1307.75,1653.52,1881.65
1996,2046.87,2636.23,2589.7,1802.13,,2201.31,2190.35,1427.27,1861.73
1997,1956.87,2392.39,2461.7,1366.84,194.6,1890.37,1295.55,1797.95,1669.53
1998,2066.37,2365.83,2275.0,1260.08,1300.09,1960.03,2131.8,1369.07,1841.03
1999,2408.3,2801.17,2707.3,1747.31,1269.83,2299.05,2058.95,1798.32,2136.28
2000,1996.3,2744.24,2701.8,1722.03,1390.56,2639.34,2128.25,1874.73,2149.66
2001,1989.93,2627.4,2113.8,1612.0,1525.58,2203.98,1485.65,1632.73,1898.88
2002,2151.0,2796.67,2488.1,1575.52,1362.92,2111.79,1819.85,1610.62,1989.56
2003,2112.43,2454.19,1921.3,1565.42,1633.45,2001.39,1801.75,1531.02,1877.62
2004,2323.43,2253.52,2701.3,1816.52,1705.11,2242.48,1963.8,1780.8,2098.37
2005,1980.3,2264.61,2591.5,1569.72,1520.69,2197.34,2145.05,1799.42,2008.58
2006,2040.13,2548.23,2820.0,1736.33,1805.22,2366.07,2557.95,1775.48,2206.18
2007,2139.7,2466.76,2695.3,1400.45,1520.56,2082.81,2334.4,1301.9,1992.74
2008,2149.2,2792.31,2353.3,1871.64,1625.58,2475.76,2099.1,1765.07,2141.49
2009,2371.27,2754.99,2508.0,2119.07,1686.28,2578.98,1443.6,1794.98,2157.15
2010,1717.53,2397.96,2415.6,1363.13,1569.55,2047.58,2215.7,1538.67,1908.21
2011,1884.93,2733.34,2557.7,1915.7,1653.05,2414.48,2307.35,1837.95,2163.06
2012,2331.53,2874.19,2153.3,1184.87,1579.99,2055.76,1919.35,1461.03,1945.0
2013,2384.07,2873.33,2852.6,1448.72,1859.8,2246.06,1995.65,1838.85,2187.38
2014,2529.97,2662.19,2528.7,1475.94,1569.29,2298.46,1301.0,1717.28,2010.35
2015,2252.67,2059.82,2421.8,1090.09,1395.51,1827.39,1294.65,1259.05,1700.12
2016,1388.43,1920.34,2490.0,1222.16,1373.52,2026.54,2040.6,1385.07,1730.83
2017,2355.1,2488.58,2307.5,1535.54,1709.43,2243.17,1631.6,1475.87,1968.35
2018,2264.85,2482.77,2629.5,1596.53,1741.51,2313.14,2117.35,1671.07,2102.09
2019,2626.3,2634.98,2927.4,1542.58,1452.69,2402.52,2196.15,1316.58,2137.4
